1502791554.016140	0x444A3711	808.860413
1502791554.048313	0x444A3704	808.859619
1502791554.063545	0x444A36F7	808.858826
1502791554.079661	0x444A36FA	808.859009
1502791554.095631	0x444A36FC	808.859131
1502791554.127584	0x444A36FE	808.859253
1502791554.143607	0x444A36FC	808.859131
1502791554.159532	0x444A36EC	808.858154
1502791554.175603	0x444A36E6	808.857788
1502791554.209770	0x444A36E7	808.857849
1502791554.229587	0x444A36EE	808.858276
1502791554.240241	0x444A36F1	808.858459
1502791554.273157	0x444A36D8	808.856934
1502791554.289533	0x444A36B7	808.854919
1502791554.303797	0x444A36A5	808.853821
1502791554.320100	0x444A369F	808.853455
1502791554.352110	0x444A369B	808.853210
1502791554.368310	0x444A3696	808.852905
1502791554.383730	0x444A3693	808.852722
1502791554.400156	0x444A3696	808.852905
1502791554.432309	0x444A3692	808.852661
1502791554.449317	0x444A3680	808.851562
1502791554.463806	0x444A367A	808.851196
1502791554.480353	0x444A367D	808.851379
1502791554.512218	0x444A368D	808.852356
1502791554.527914	0x444A36A3	808.853699
1502791554.543684	0x444A36A6	808.853882
1502791554.559469	0x444A369F	808.853455
1502791554.591511	0x444A368B	808.852234
1502791554.607508	0x444A3678	808.851074
1502791554.623525	0x444A3669	808.850159
1502791554.655301	0x444A3667	808.850037
1502791554.671529	0x444A3670	808.850586
1502791554.687518	0x444A368B	808.852234
1502791554.703406	0x444A36A2	808.853638
1502791554.735311	0x444A3689	808.852112
1502791554.752353	0x444A366B	808.850281
1502791554.767541	0x444A365E	808.849487
1502791554.784192	0x444A3655	808.848938
1502791554.816216	0x444A3647	808.848083
1502791554.831750	0x444A3637	808.847107
1502791554.847626	0x444A3629	808.846252
1502791554.863464	0x444A3611	808.844788
1502791554.895463	0x444A35FD	808.843567
1502791554.911478	0x444A35F8	808.843262
1502791554.927436	0x444A3608	808.844238
1502791554.959266	0x444A3615	808.845032
1502791554.975455	0x444A3613	808.844910
1502791554.991483	0x444A3618	808.845215
1502791555.008187	0x444A3615	808.845032
1502791555.040021	0x444A3608	808.844238
1502791555.056207	0x444A3611	808.844788
1502791555.072049	0x444A3618	808.845215
1502791555.088224	0x444A360A	808.844360
1502791555.120135	0x444A35F6	808.843140
1502791555.135804	0x444A35E4	808.842041
1502791555.151580	0x444A35D0	808.840820
1502791555.167456	0x444A35BB	808.839539
1502791555.199403	0x444A35A5	808.838196
1502791555.215467	0x444A35A5	808.838196
1502791555.231482	0x444A35A7	808.838318
1502791555.247491	0x444A359B	808.837585
1502791555.279448	0x444A35AF	808.838806
1502791555.295487	0x444A35B7	808.839294
1502791555.311369	0x444A359E	808.837769
1502791555.343216	0x444A35A1	808.837952
1502791555.359675	0x444A35A4	808.838135
1502791555.376039	0x444A358C	808.836670
1502791555.392244	0x444A3575	808.835266
1502791555.424135	0x444A3562	808.834106
1502791555.439642	0x444A355D	808.833801
1502791555.456239	0x444A3545	808.832336
1502791555.471431	0x444A352E	808.830933
1502791555.503375	0x444A352D	808.830872
1502791555.519451	0x444A3515	808.829407
1502791555.535396	0x444A34FD	808.827942
1502791555.551441	0x444A34F1	808.827209
1502791555.583427	0x444A34E3	808.826355
1502791555.599423	0x444A34C9	808.824768
1502791555.615470	0x444A34C0	808.824219
1502791555.647253	0x444A34DD	808.825989
1502791555.663404	0x444A34F3	808.827332
1502791555.679421	0x444A34F6	808.827515
1502791555.695419	0x444A34ED	808.826965
1502791555.727339	0x444A34D8	808.825684
1502791555.743467	0x444A34CE	808.825073
1502791555.759379	0x444A34D1	808.825256
1502791555.775502	0x444A34CA	808.824829
1502791555.807455	0x444A34BF	808.824158
1502791555.824053	0x444A34BB	808.823914
1502791555.839975	0x444A34AC	808.822998
1502791555.856061	0x444A3497	808.821716
1502791555.887826	0x444A3487	808.820740
1502791555.903958	0x444A3487	808.820740
1502791555.919413	0x444A348F	808.821228
1502791555.935475	0x444A3492	808.821411
1502791555.967383	0x444A34A8	808.822754
1502791555.983378	0x444A34A9	808.822815
1502791555.999428	0x444A3499	808.821838
1502791556.031303	0x444A349D	808.822083
1502791556.047506	0x444A34A7	808.822693
1502791556.063458	0x444A34B5	808.823547
1502791556.079450	0x444A34AE	808.823120
1502791556.111369	0x444A34A2	808.822388
1502791556.127431	0x444A3499	808.821838
1502791556.143417	0x444A3480	808.820312
1502791556.159465	0x444A3477	808.819763
1502791556.191363	0x444A3482	808.820435
1502791556.207375	0x444A3494	808.821533
1502791556.223434	0x444A3484	808.820557
1502791556.239461	0x444A346A	808.818970
1502791556.271361	0x444A346F	808.819275
1502791556.287390	0x444A3472	808.819458
1502791556.303394	0x444A346D	808.819153
1502791556.335262	0x444A3473	808.819519
1502791556.351405	0x444A3474	808.819580
1502791556.367394	0x444A345E	808.818237
1502791556.383452	0x444A3453	808.817566
1502791556.415205	0x444A3451	808.817444
1502791556.431405	0x444A3447	808.816833
1502791556.447368	0x444A3438	808.815918
1502791556.464204	0x444A3431	808.815491
1502791556.495319	0x444A3441	808.816467
1502791556.511323	0x444A3432	808.815552
1502791556.527418	0x444A341C	808.814209
1502791556.543455	0x444A3428	808.814941
1502791556.575351	0x444A3428	808.814941
1502791556.591365	0x444A342A	808.815063
1502791556.607382	0x444A342A	808.815063
1502791556.624087	0x444A3431	808.815491
1502791556.656180	0x444A3432	808.815552
1502791556.671973	0x444A3427	808.814880
1502791556.688004	0x444A342E	808.815308
1502791556.719598	0x444A3423	808.814636
1502791556.735389	0x444A3418	808.813965
1502791556.751389	0x444A342A	808.815063
1502791556.767412	0x444A342A	808.815063
